doc_id,travel_sponsor,sponsors_cleaned,sponsor
500013241,Information Technology and Innovation Foundation,Information Technology And Innovation Foundation,Information Technology and Innovation Foundation
500013242,Aspen Institute Congressional Program (AICP),Aspen Institute,The Aspen Institute
500013243,Aspen Institute Congressional Program,Aspen Institute,The Aspen Institute
500013244,Management Sciences for Health (MSH),Management Sciences for Health,Management Sciences for Health
500013245,U.S. Association of Former Members of Congress,U.S. Association Of Former Members Of Congress,U.S. Association of Former Members of Congress
500013247,Aspen Institute Congressional Program,Aspen Institute,The Aspen Institute
500013248,Information Technology & Innovation Foundation,Information Technology And Innovation Foundation,Information Technology and Innovation Foundation
500013250,Transatlantic Policy Network,Transatlantic Policy Network,Transatlantic Policy Network
500013251,The Luso-American Development Foundation,The Luso-american Development Foundation,Luso-American Development Foundation
500013252,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013252,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013253,National Democratic Institute for International Affairs (NDI),National Democratic Institute,National Democratic Institute
500013254,Aspen Institute Congressional Program,Aspen Institute,The Aspen Institute
500013255,Aspen Institute Congressional Program,Aspen Institute,The Aspen Institute
500013256,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013256,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013257,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013257,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013258,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013258,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013259,International Committee of the Red Cross,International Committee of the Red Cross,International Committee of the Red Cross
500013260,U.S. Association of Former Members of Congress,U.S. Association Of Former Members Of Congress,U.S. Association of Former Members of Congress
500013261,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013261,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013262,U.S. Association of Former Members of Congress,U.S. Association Of Former Members Of Congress,U.S. Association of Former Members of Congress
500013263,International Committee of the Red Cross (ICRC),International Committee of the Red Cross,International Committee of the Red Cross
500013265,Aspen Institute Congressional Program (AICP),Aspen Institute,The Aspen Institute
500013266,"Proclaiming Justice to the Nations, inc. (PJTN)",Proclaiming Justice to the Nations,Proclaiming Justice to the Nations
500013267,"World Vision, Bill and Melinda Gates Foundation",World Vision International;Bill And Melinda Gates Foundation,World Vision
500013267,"World Vision, Bill and Melinda Gates Foundation",World Vision International;Bill And Melinda Gates Foundation,Bill and Melinda Gates Foundation
500013268,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013268,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013269,Princeton University,Princeton University,Princeton University
500013270,The Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013270,The Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013271,The Information Technology & Innovation Foundation,Information Technology And Innovation Foundation,Information Technology and Innovation Foundation
500013272,Aspen Institute Congressional Program,Aspen Institute,The Aspen Institute
500013273,Alliance for Health Reform and the Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013273,Alliance for Health Reform and the Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013274,International Committee of the Red Cross,International Committee of the Red Cross,International Committee of the Red Cross
500013275,International Committee of the Red Cross,International Committee of the Red Cross,International Committee of the Red Cross
500013276,World Vision,World Vision,World Vision
500013277,World Vision,World Vision,World Vision
500013278,U.S. Association of Former Members of Congress,U.S. Association Of Former Members Of Congress,U.S. Association of Former Members of Congress
500013279,American Israel Education Foundation,American Israel Education Foundation,American Israel Education Foundation
500013280,Alliance for Health Reform and the Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013280,Alliance for Health Reform and the Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013281,Alliance for Health Reform and the Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013281,Alliance for Health Reform and the Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013283,American Israel Education Foundation,American Israel Education Foundation,American Israel Education Foundation
500013284,U.S. Association of Former Members of Congress (FMC; Sasakawa Peace Foundation USA (SPFUSA),U.S. Association of Former Members of Congress; Sasakawa Peace Foundation Usa,U.S. Association of Former Members of Congress
500013284,U.S. Association of Former Members of Congress (FMC; Sasakawa Peace Foundation USA (SPFUSA),U.S. Association of Former Members of Congress; Sasakawa Peace Foundation Usa,Sasakawa Peace Foundation USA
500013285,U.S. Association of Former Members of Congress (FMC); Sasakawa Peace Foundation,U.S. Association of Former Members of Congress; Sasakawa Peace Foundation Usa,U.S. Association of Former Members of Congress
500013285,U.S. Association of Former Members of Congress (FMC); Sasakawa Peace Foundation,U.S. Association of Former Members of Congress; Sasakawa Peace Foundation Usa,Sasakawa Peace Foundation USA
500013286,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013286,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013287,Aspen Institute Congressional Program,Aspen Institute,The Aspen Institute
500013288,American Israel Education Foundation (AIEF),American Israel Education Foundation,American Israel Education Foundation
500013289,American Israel Education Foundation (AIEF),American Israel Education Foundation,American Israel Education Foundation
500013290,Proclaiming Justice to the Nations (PJTN),Proclaiming Justice to the Nations,Proclaiming Justice to the Nations
500013291,American Israel Education Foundation (AIEF),American Israel Education Foundation,American Israel Education Foundation
500013292,American Israel Education Foundation (AIEF),American Israel Education Foundation,American Israel Education Foundation
500013294,American Israel Education Foundation (AIEF),American Israel Education Foundation,American Israel Education Foundation
500013295,American Israel Education Foundation (AIEF),American Israel Education Foundation,American Israel Education Foundation
500013296,The Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013296,The Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013297,American Israel Education Foundation (AIEF),American Israel Education Foundation,American Israel Education Foundation
500013298,American Israel Education Foundation (AIEF),American Israel Education Foundation,American Israel Education Foundation
500013299,American Israel Education Foundation (AIEF),American Israel Education Foundation,American Israel Education Foundation
500013300,American Israel Education Foundation (AIEF),American Israel Education Foundation,American Israel Education Foundation
500013301,World Vision,World Vision,World Vision
500013302,Information Technology & Innovation Foundation,Information Technology And Innovation Foundation,Information Technology and Innovation Foundation
500013303,U.S. Association of Former Members of Congress (FMC); Sasakawa Peace Foundation USA (SPFUSA),U.S. Association of Former Members of Congress; Sasakawa Peace Foundation Usa,U.S. Association of Former Members of Congress
500013303,U.S. Association of Former Members of Congress (FMC); Sasakawa Peace Foundation USA (SPFUSA),U.S. Association of Former Members of Congress; Sasakawa Peace Foundation Usa,Sasakawa Peace Foundation USA
500013304,The Congressional Institute,Congressional Institute,Congressional Institute
500013305,American Israel Education Foundation (AIEF),American Israel Education Foundation,American Israel Education Foundation
500013306,American Israel Education Foundation (AIEF),American Israel Education Foundation,American Israel Education Foundation
500013307,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013307,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013308,Information Technology and Innovation Foundation,Information Technology And Innovation Foundation,Information Technology and Innovation Foundation
500013309,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013309,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013310,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013310,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013311,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013311,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013312,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Alliance for Health Policy
500013312,Alliance for Health Reform and The Commonwealth Fund,Alliance For Health Policy;The Commonwealth Fund,Commonwealth Fund
500013313,American Israel Education Foundation,American Israel Education Foundation,American Israel Education Foundation
500013314,Club for Growth,Club For Growth,Club for Growth
500013315,United Nations Foundatoin,United Nations Foundation,United Nations Foundation
500013317,Club for Growth,Club For Growth,Club for Growth
500013319,United Nations Foundation,United Nations Foundation,United Nations Foundation
500013320,"Congressional Prayer Caucus Foundation, Inc.",Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013321,United Nations Foundation,United Nations Foundation,United Nations Foundation
500013322,Agriculture Institute of Florida Foundation,Agricultural Institute Of Florida Foundation,Agricultural Institute of Florida Foundation
500013323,United Nations Foundation,United Nations Foundation,United Nations Foundation
500013324,"Congressional Prayer Caucus Foundation, Inc.",Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013325,Club for Growth,Club For Growth,Club for Growth
500013326,United Nations Foundation,United Nations Foundation,United Nations Foundation
500013327,Agriculture Institute of Florida Foundation,Agricultural Institute Of Florida Foundation,Agricultural Institute of Florida Foundation
500013328,The Heritage Foundation,Heritage Foundation,Heritage Foundation
500013329,"Congressional Prayer Caucus Foundation, Inc.",Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013330,United Nations Foundation,United Nations Foundation,United Nations Foundation
500013332,"Congressional Prayer Caucus Foundation, Inc.",Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013333,United Nations Foundation,United Nations Foundation,United Nations Foundation
500013334,Agricultural Institute of Florida Foundation,Agricultural Institute Of Florida Foundation,Agricultural Institute of Florida Foundation
500013335,Congressional Prayer Caucus Foundation Inc.,Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013336,United Nations Foundation,United Nations Foundation,United Nations Foundation
500013337,Internet Association,Internet Association,The Internet Association
500013338,United Nations Foundation,United Nations Foundation,United Nations Foundation
500013339,American Enterprise Institute,American Enterprise Institute,American Enterprise Institute
500013340,American Enterprise Institute,American Enterprise Institute,American Enterprise Institute
500013341,United Nations Foundation,United Nations Foundation,United Nations Foundation
500013342,Internet Association,Internet Association,The Internet Association
500013344,Internet Association,Internet Association,The Internet Association
500013345,"Congressional Prayer Caucus Foundation, Inc.",Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013346,American Youth Policy Forum,American Youth Policy Forum,American Youth Policy Forum
500013347,American Enterprise Institute,American Enterprise Institute,American Enterprise Institute
500013348,Internet Association,Internet Association,The Internet Association
500013349,Partnership for a New American Economy,Partnership For A New American Economy,Partnership for a New American Economy
500013350,Partnership for a New American Economy,Partnership For A New American Economy,Partnership for a New American Economy
500013352,American Enterprise Institute,American Enterprise Institute,American Enterprise Institute
500013353,"Congressional Prayer Caucus Foundation, Inc.",Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013355,American Enterprise Institute,American Enterprise Institute,American Enterprise Institute
500013356,American Youth Policy Forum (AYPF),American Youth Policy Forum,American Youth Policy Forum
500013357,"Congressional Prayer Caucus Foundation, Inc.",Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013358,"Congressional Prayer Caucus Foundation, Inc.",Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013359,Congressional Prayer Caucus Foundation Inc.,Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013360,United Nations Foundation,United Nations Foundation,United Nations Foundation
500013361,United Nations Foundation,United Nations Foundation,United Nations Foundation
500013362,Internet Association,Internet Association,The Internet Association
500013363,Agriculture Institute of Florida Foundation,Agricultural Institute Of Florida Foundation,Agricultural Institute of Florida Foundation
500013364,Agriculture Institute of Florida Foundation,Agricultural Institute Of Florida Foundation,Agricultural Institute of Florida Foundation
500013365,United Nations Foundation,United Nations Foundation,United Nations Foundation
500013366,"Congressional Prayer Caucus Foundation, Inc.",Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013367,The American Enterprise Institute,American Enterprise Institute,American Enterprise Institute
500013368,Internet Association,Internet Association,The Internet Association
500013369,"Congressional Prayer Caucus Foundation, Inc.",Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013370,Internet Association,Internet Association,The Internet Association
500013371,American Youth Policy Forum (AYPF),American Youth Policy Forum,American Youth Policy Forum
500013372,Management Sciences for Health (MSH),Management Sciences for Health,Management Sciences for Health
500013373,Internet Association,Internet Association,The Internet Association
500013374,Internet Association,Internet Association,The Internet Association
500013375,"Everglades Foundation, Inc",Everglades Foundation,Everglades Foundation
500013376,"Everglades Foundation, Inc.",Everglades Foundation,Everglades Foundation
500013378,Internet Association,Internet Association,The Internet Association
500013380,Motion Picture Association of America,Motion Picture Association of America,Motion Picture Association of America
500013381,West America Turkic Council,West America Turkic Council,West America Turkic Council
500013382,Motion Picture Association of America,Motion Picture Association of America,Motion Picture Association of America
500013383,"Congressional Prayer Caucus Foundation, Inc.",Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013384,West America Turkic Council,West America Turkic Council,West America Turkic Council
500013385,"Everglades Foundation, Inc.",Everglades Foundation,Everglades Foundation
500013386,West America Turkic Council,West America Turkic Council,West America Turkic Council
500013387,Haverford College,Haverford College,Haverford College
500013388,Motion Picture Association of America,Motion Picture Association of America,Motion Picture Association of America
500013389,"Everglades Foundation, Inc.",Everglades Foundation,Everglades Foundation
500013390,German Marshall Fund of the United States,German Marshall Fund Of The United States,German Marshall Fund of the United States
500013391,Frederich Ebert Foundation,Friedrich Ebert Foundation,Friedrich Ebert Foundation
500013392,Motion Picture Association of America,Motion Picture Association of America,Motion Picture Association of America
500013393,West America Turkic Council,West America Turkic Council,West America Turkic Council
500013394,"Everglades Foundation, Inc.",Everglades Foundation,Everglades Foundation
500013395,American Enterprise Institute,American Enterprise Institute,American Enterprise Institute
500013396,Motion Picture Association of America,Motion Picture Association of America,Motion Picture Association of America
500013397,Motion Picture Association of America,Motion Picture Association of America,Motion Picture Association of America
500013399,Washington Office on Latin America,Washington Office On Latin America,Washington Office on Latin America
500013400,Internet Association,Internet Association,The Internet Association
500013401,"Everglades Foundation, Inc.",Everglades Foundation,Everglades Foundation
500013402,"Everglades Foundation, Inc.",Everglades Foundation,Everglades Foundation
500013404,Motion Picture Association of America,Motion Picture Association of America,Motion Picture Association of America
500013405,West America Turkic Council,West America Turkic Council,West America Turkic Council
500013407,Friedrich Evert Foundation,Friedrich Ebert Foundation,Friedrich Ebert Foundation
500013408,Internet Association,Internet Association,The Internet Association
500013409,Agriculture Institute of Florida Foundation,Agricultural Institute Of Florida Foundation,Agricultural Institute of Florida Foundation
500013410,"Congressional Prayer Caucus Foundation, Inc.",Congressional Prayer Caucus Foundation,Congressional Prayer Caucus Foundation
500013411,"Everglades Foundation, Inc.",Everglades Foundation,Everglades Foundation
500013412,Internet Association,Internet Association,The Internet Association
500013413,Washington Office on Latin America,Washington Office On Latin America,Washington Office on Latin America
500013414,The Depository Trust and Clearing Corporation and McGraw Hill Financial,Depository Trust And Clearing Corporation;McGraw Hill Financial,Depository Trust and Clearing Corporation
500013414,The Depository Trust and Clearing Corporation and McGraw Hill Financial,Depository Trust And Clearing Corporation;McGraw Hill Financial,McGraw Hill Financial
500013415,Center Forward,Center Forward,Center Forward
500013416,Center Forward,Center Forward,Center Forward
500013417,Center Forward,Center Forward,Center Forward
500013418,Center Forward,Center Forward,Center Forward
500013419,Mercatus Center and Institute for Humane Studies,Mercatus Center;Institute For Humane Studies,Mercatus Center
500013419,Mercatus Center and Institute for Humane Studies,Mercatus Center;Institute For Humane Studies,Institute for Humane Studies
500013420,Washington Office on Latin America,Washington Office On Latin America,Washington Office on Latin America
500013421,Motion Picture Association of America,Motion Picture Association of America,Motion Picture Association of America
500013422,Washington Office of Latin America,Washington Office On Latin America,Washington Office on Latin America
500013423,Center Forward,Center Forward,Center Forward
500013424,Agriculture Institute of Florida Foundation,Agricultural Institute Of Florida Foundation,Agricultural Institute of Florida Foundation
500013425,Center Forward,Center Forward,Center Forward
500013426,Center Forward,Center Forward,Center Forward
500013427,Center Forward,Center Forward,Center Forward
500013428,The Depository Trust & Clearing Corporation and McGraw Hill Financial,Depository Trust And Clearing Corporation;McGraw Hill Financial,Depository Trust and Clearing Corporation
500013428,The Depository Trust & Clearing Corporation and McGraw Hill Financial,Depository Trust And Clearing Corporation;McGraw Hill Financial,McGraw Hill Financial
